"PA1" "PA2" "PA3" "PA4" "PA5" "PA6" "PA7" "PA8" "PA9" "PA10" "country" "modality" "category" "circle" "region" "phase"
"AU-TW-2014_10_5.txt" -0.584487743377446 -0.851581337078638 -0.61653116759105 -0.157922568784408 0.144485222517428 -0.0235226346656769 0.493217235542239 -0.588424976945266 -0.73786007743035 -0.197014293837521 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_11_1.txt" -0.450059469519913 -0.778288416433397 -0.679732668703875 -0.20287366839586 0.0978867426686346 -0.119633400487343 0.232302309737571 -0.729258148566236 -0.745368435159626 -0.0887915524746999 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_11_2.txt" -0.569605778034416 -0.96661091371493 -0.168307929465946 -0.0239486545145669 -0.205510981932225 -0.044384075958129 0.421076707101954 0.180388805183571 -0.286938452657675 -0.315481210455509 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_11_3.txt" -0.525306909561952 -0.724884130146203 -0.418965171738029 -0.384581623495215 0.140946465356003 0.259741973786919 0.987864934525861 -0.202969496556254 -0.915648643639399 0.000542633162973475 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_11_4.txt" -0.574776146841388 -0.623152426157931 -0.481591597585859 -0.185526905395388 -0.117026510979745 -0.298272733126829 0.580718018022222 -0.240955307367729 -0.67509829867514 0.00166503028707324 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_11_5.txt" -0.723565058374751 -0.674671953122271 -0.868631999741905 -0.812974395114775 0.600417563433902 -0.444292338572312 -0.140851210653581 -0.326693047709057 -1.19463629687919 0.0503429493612947 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_12_1.txt" -0.496068124610653 -0.512280382156094 -0.431731467168189 -0.281223050238343 -0.317285506341561 -0.361662239263957 0.470914865185806 -0.164767092664087 -0.207987588670267 -0.169143356672687 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_12_2.txt" -0.665770307767549 -0.668181542070967 -0.64429528600187 -0.414399611369416 -0.00643635735050997 -0.492953186797035 0.173082534527447 -0.173526731041502 -0.702993189521147 -0.0237164544942365 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_12_3.txt" -0.563044902616034 -0.71104791183265 -0.746298525156481 -0.616785154475317 -0.258508588643329 -0.255030074442513 -0.015379772875901 -0.463104843498543 -0.623654316167835 -0.225306157334924 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_12_4.txt" -0.36207720829391 -0.495288732992475 -0.489493166229941 -0.643024856998712 -0.162737806458785 -0.188465481569955 0.466984945821225 0.0822414809736039 -0.440277764076799 -0.256020137576853 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2014_12_5.txt" -0.672293249828152 -0.825155791455723 -0.767155079233246 -0.465309788840341 0.34859848484505 -0.265861801109964 0.320426348522123 -0.312614590271752 -0.868852520301989 0.271388189838236 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_03_1.txt" -0.640415858981783 -0.643602108606727 -0.922696680125229 -0.737335645764393 -0.262043001683411 -0.627021722174873 -0.101316265306867 -0.202490929618517 -0.811472534725937 -0.208297506077236 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_03_2.txt" -0.60103567166642 -0.894015681878798 -0.492171646673633 -0.0280635666644497 -0.150806160955128 0.00413804460938759 0.353612461582641 -0.371374152360377 -0.716684820467024 0.252768302074834 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_03_3.txt" -0.548455174841682 -0.931623115935392 -0.767919806204352 -0.240829207094609 0.121094630720988 -0.108776790762937 0.271494111535404 -0.463167682258844 -0.542157072911727 -0.0115089857861558 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_03_4.txt" -0.48673489043499 -0.591555684979316 -0.547623077647815 0.211218511963032 0.178721813338196 -0.103774866951218 0.2645029986151 -0.291962140793851 -0.532539861664011 0.148597359254477 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_03_5.txt" -0.461889457793411 -0.676847761158015 -0.478187772020076 -0.0634288722257785 -0.305794788083589 0.11731346627421 0.258275233195816 -0.561049810689729 -0.379392747674282 0.0307001657510359 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_04_1.txt" -0.553823674957888 -0.695313318953225 -0.623931836368124 -0.302591334462674 0.062146357077415 -0.394384077801882 0.462229419683063 -0.591209104092878 -0.40554007270426 -0.367880827476213 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_04_2.txt" -0.618103631402949 -0.670354597797535 -0.71466302787262 -0.46240606464965 -0.0851222045892176 -0.605865064339839 0.0239711878644406 -0.209861060657789 -0.682194368353301 0.0116679870715361 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_04_3.txt" -0.580086306497432 -0.397836546894405 -0.401359512061483 -0.650193588048095 0.340166624804551 -0.459286144368126 0.443502832386845 0.555385437292475 -0.779604053261762 -0.0230547947867346 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_04_4.txt" -0.598042008500747 -0.68787593388299 -0.0472428571259553 0.557957464948175 -0.308771197133035 0.276514821162154 1.07262986640252 -0.137295909724121 -0.677346237919392 0.457838712505321 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_04_5.txt" -0.53391478787722 -0.890866473586549 -0.316421971735826 0.305349161775354 -0.338012915731288 -0.0971596465633093 0.710725379034229 -0.127612933785286 -0.267989879557415 0.0733262330557045 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_05_1.txt" -0.447248436900731 -0.661329446427194 -0.833155700513858 -0.514872166038192 -0.0584248398409315 -0.163731054589895 0.666160847182426 -0.0118892388601475 -0.538065512842787 -0.539541849006043 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_05_2.txt" -0.700520163057332 -0.576444657951773 -0.801530324500693 -0.285547268723113 -0.0616141383823658 -0.368995931603496 0.125527731153076 -0.466276997769892 -0.617342261211391 -0.155066577042017 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_05_3.txt" -0.533802640332758 -0.677918247058157 -0.507802472610214 -0.213043682687085 -0.222606340572265 -0.357564510259704 0.543327919504743 -0.177384618947226 -0.910723372428617 0.163976588105306 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_05_4.txt" -0.447640609745818 -0.494830161746256 -0.563151351664806 0.123939500154405 -0.103126024932977 -0.067536729517232 0.694811762151106 -0.702445359161504 -1.26894055386956 0.0696868824028104 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_05_5.txt" -0.420772846602203 -0.780758596067055 -0.711378867721335 -0.0594181330400713 -0.21035626860462 -0.211135287584244 0.257333216929426 -0.269028389767328 -0.741600696303292 -0.441268232619247 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_06_1.txt" -0.560837004301136 -0.91419515476574 -0.915606931098594 0.087164512681262 0.171544333340003 0.0308467195363147 0.0412882537089391 -0.452449667172859 -0.584595763038262 -0.15022088919598 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_06_2.txt" -0.455884510411602 -0.774481125827564 -0.79043663026809 0.256282799174842 -0.582758506022421 -0.258134381682802 0.169066121768009 -0.600430017503137 -0.671435342805678 -0.200078861589538 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_06_3.txt" -0.654664965333647 -0.51946210439381 -0.662197414449838 -0.207630476651096 0.199879947119498 -0.608859526281733 0.109037463567841 -0.463751115727522 -0.868264121344248 0.20826919714711 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
"AU-TW-2015_06_4.txt" -0.642706607537478 -0.34080661493785 -0.667626317570489 -0.441324444622756 0.0485925053614393 -0.183772652354784 0.213615437484593 -0.46875469579122 -0.570187120492648 -0.175265594940948 "AU" "T" "TW" "Inner_Circle" "Austronesia" "five"
